burst_id,input_n_peaks,input_shot_sigma_ms,acf_sigma_ms,acf_fwhm_ms,acf_resid_rms,peak_count,peak_rate_per_ms,t90_ms,median_peak_width_ms,mean_peak_width_ms,median_sep_ms,mean_sep_ms,sep_cv,amplitude_entropy,amplitude_gini,profile_modulation_index,psd_slope,peak_threshold_sigma,min_peak_distance_ms,complexity_mode,used_will,will_method,duration_ms,tsamp_ms,dm,nfreq
dense_n06_r05,6,0.08,0.40545175299485353,0.9547659152452184,0.12148185397475517,7,6.529850746268656,1.072,0.07626305654578482,0.12289921357445135,0.144,0.152,0.5821284218609495,0.9478275545819699,0.2229537074498813,21.653560200547904,-3.0956733706082447,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n12_r00,12,0.08,0.4785015637990045,1.1267850740125513,0.15312626593111323,13,6.8277310924369745,1.9040000000000001,0.01771748491833114,0.08553906519350865,0.12,0.17866666666666664,0.8238751892532885,0.8909405438222873,0.35199623893803067,16.78725224517142,-2.5556882425828094,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n12_r01,12,0.08,0.547837147888004,1.2900578972592565,0.14760185960531264,6,3.289473684210526,1.824,0.1520713570062958,0.15047096554385644,0.4,0.4224,0.30548250232812046,0.8362291994255096,0.38612884285323124,18.302520967764032,-2.8554399811387747,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n12_r02,12,0.08,0.17720830966323176,0.4172936797410298,0.09730989677030426,5,2.2321428571428568,2.24,0.18655281380389624,0.1808931572025127,0.552,0.5800000000000001,0.43195763213212673,0.6487841445144117,0.544786450406366,23.092867854257733,-3.216298744523614,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n12_r03,12,0.08,0.7290653833991468,1.7168177789664854,0.10130592110821825,16,7.936507936507937,2.016,0.033991442719117,0.1032870865904698,0.048,0.15573333333333336,1.0146237910762304,0.9713796773992904,0.13801238581772557,16.076052743498238,-2.5845797841827,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n12_r04,12,0.08,0.3892510420399716,0.9166161563449098,0.08662025985113728,6,4.573170731707317,1.312,0.16330214462097864,0.13013821370402806,0.368,0.34880000000000005,0.30620769299593825,0.7799795677264529,0.4634080199381194,21.728108056403148,-2.888685793293022,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n12_r05,12,0.08,0.41483707866281727,0.9768666682572829,0.16615387281193442,5,2.4038461538461537,2.08,0.17898390218033183,0.2019298013620599,0.544,0.544,0.22495674324674053,0.9009426783263085,0.30760962003115777,19.067169538025258,-2.9668672407540297,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n24_r00,24,0.08,0.6169459914226771,1.4527967873036123,0.06323645389063162,14,6.782945736434108,2.064,0.022200023719045475,0.10312706824930495,0.128,0.19692307692307695,0.8606864992551001,0.9218663149228787,0.3340824733187502,17.179511183784626,-2.708452958903249,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n24_r01,24,0.08,0.7052420469441215,1.660718108742675,0.1239367659060939,14,6.161971830985915,2.2720000000000002,0.07059852742415115,0.10907301902304281,0.272,0.256,0.7775392644055397,0.8652658111547992,0.4171258796676087,15.706995595717418,-2.47641568342782,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n24_r02,24,0.08,0.6974139523284377,1.642284354627264,0.09788494269619305,24,12.396694214876034,1.936,0.013086826175499028,0.05173572910492006,0.048,0.1147826086956522,1.0888195476506604,0.9351453453532378,0.3337756413913797,16.569529801024526,-2.5543410309477155,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n24_r03,24,0.08,0.5064269245068203,1.1925442731720357,0.06196985047276087,23,7.116336633663366,3.232,0.012639961071789912,0.07364579592079316,0.128,0.1672727272727273,0.905935061957496,0.9102484211888934,0.39405725228697697,16.314195901180913,-2.517906038406129,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
dense_n24_r04,24,0.08,0.78077272801099,1.8385792705337765,0.08735273214518113,25,9.191176470588236,2.72,0.012762901121183858,0.08696315018700795,0.048,0.128,1.0458250331675942,0.9432402224487215,0.28477513651050357,14.56509287904691,-2.447347418664237,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128
